Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,Distance,BPM,Valence,Energy,Dance,Key,Mood_Score,Key_Step
41,Baker Grace|Am I Talking To You,1DvIlp15PM55hCSBATR35O,Am I Talking To You,Baker Grace,Am I Talking To You?,2017,0.7011529793784684,186,57,28,75,12A,160,2
42,Carrie Underwood|Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,Carrie Underwood,Some Hearts,2005,0.7133375243086516,148,29,75,52,11A,156,1
43,Bishop Briggs|Woman Is King,1gxc1dIYLmSS2sxMm8BYNj,Woman Is King,Bishop Briggs,Tell My Therapist I'm Fine (Deluxe),2025,0.7225294024905109,149,45,67,61,9A,173,1
44,CHINCHILLA|Little Girl Gone,56rpEOCBATYItSa4yPksfe,Little Girl Gone,CHINCHILLA,Little Girl Gone,2023,0.7387907954112953,160,50,67,71,12A,188,2
45,Thirty Seconds To Mars|The Kill,0lP4HYLmvowOKdsQ7CVkuq,The Kill,Thirty Seconds To Mars,A Beautiful Lie,2005,0.7433504970933492,183,29,91,18,9A,138,1
46,Yeah Yeah Yeahs|Phenomena,63Kdr7jLTZxHr7MgjMiKmh,Phenomena,Yeah Yeah Yeahs,Show Your Bones,2006,0.7675071013873208,157,47,90,50,10B,187,2
47,Evanescence|Imaginary,7q6CybWAg3uYLgS5tDWqmd,Imaginary,Evanescence,Fallen,2003,0.7545049608037768,150,28,75,40,9A,143,1
48,Danzig|Mother,7txxAtOMwLLnQTpKeBL6bp,Mother,Danzig,Danzig,1988,0.7728498634079365,148,34,76,37,10A,147,1
49,Avril Lavigne|Unwanted,1vjIHlmc4WfIaEl74YAvX0,Unwanted,Avril Lavigne,Let Go,2002,0.7796776535046234,162,62,84,48,9A,194,1
50,Metric|Empty,3wNUaKeGPWmbB7139pfZdj,Empty,Metric,Live It Out,2005,0.7829390462838158,146,36,60,60,9A,156,1
